RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,PRED,CPRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD
1,TEST01MZ,1,0,1,2001,131,18,0.00000000,68.3000031,13.4520025,14.4343243,24.5000000,49.0000000,0.215417027,23.6000004,14.1999998,18.8978615,20.5925026,14.1999998,18.8978615,20.5925026,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,132,19,0.00000000,68.3000031,13.4752140,14.4602280,26.8999996,53.7999992,0.140727222,24.2999992,10.1999998,17.2514725,19.7966270,10.1999998,17.2514725,19.7966270,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,133,20,0.00000000,68.3000031,13.4980335,14.4857492,27.2000008,54.4000015,0.133268833,27.1000004,10.6000004,18.8570976,21.8391228,10.6000004,18.8570976,21.8391228,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,134,21,0.00000000,68.3000031,13.5204506,14.5108738,19.0000000,38.0000000,0.396000922,26.7000008,15.3000002,21.0085506,23.0713196,15.3000002,21.0085506,23.0713196,86.4000015,370.600006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,135,22,0.00000000,68.3000031,13.5424547,14.5355883,21.2000008,42.4000015,0.327617884,29.3999996,17.8999996,23.6622372,25.7455139,17.8999996,23.6622372,25.7455139,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,136,23,0.00000000,68.3000031,13.5640364,14.5598803,23.2000008,46.4000015,0.265831351,31.3999996,19.0000000,25.2170048,27.4658623,19.0000000,25.2170048,27.4658623,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,137,24,10.3999996,78.7000046,13.5851860,14.5837364,16.2000008,32.4000015,0.488459289,30.7000008,19.7000008,25.2184048,27.2155457,19.7000008,25.2184048,27.2155457,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,138,25,74.9000015,153.600006,13.6058912,14.6071444,23.0000000,46.0000000,0.275263965,33.5000000,21.2999992,27.4240055,29.6413765,21.2999992,27.4240055,29.6413765,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,139,26,0.699999988,154.300003,13.6261435,14.6300898,18.0000000,36.0000000,0.433968484,32.5999985,21.7000008,27.1745911,29.1577339,21.7000008,27.1745911,29.1577339,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,140,27,4.50000000,158.800003,13.6459322,14.6525602,15.6999998,31.3999996,0.507265627,29.6000004,20.2999992,24.9736004,26.6673374,20.2999992,24.9736004,26.6673374,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,141,28,0.00000000,158.800003,13.6652470,14.6745434,26.7000008,53.4000015,0.163630128,31.1000004,16.8999996,24.0399342,26.6285782,16.8999996,24.0399342,26.6285782,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,142,29,0.00000000,158.800003,13.6840782,14.6960249,16.6000004,33.2000008,0.480963886,30.2999992,18.7000008,24.5357265,26.6523819,18.7000008,24.5357265,26.6523819,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,143,30,0.00000000,158.800003,13.7024155,14.7169924,23.0000000,46.0000000,0.282126367,31.1000004,18.3999996,24.7924271,27.1119003,18.3999996,24.7924271,27.1119003,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,144,31,0.00000000,158.800003,13.7202492,14.7374334,26.6000004,53.2000008,0.171179533,32.4000015,16.2000008,24.3582230,27.3195190,16.2000008,24.3582230,27.3195190,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,145,32,7.09999990,165.900009,13.7375698,14.7573347,18.5000000,37.0000000,0.424510956,31.7999992,21.1000004,26.4910870,28.4486561,21.1000004,26.4910870,28.4486561,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,146,33,5.09999990,171.000015,13.7543688,14.7766838,19.8999996,39.7999992,0.381937504,33.5999985,23.5000000,28.5911884,30.4404926,23.5000000,28.5911884,30.4404926,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,147,34,0.00000000,171.000015,13.7706347,14.7954693,15.3999996,30.7999992,0.522424996,32.4000015,22.8999996,27.6909351,29.4317455,22.8999996,27.6909351,29.4317455,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,148,35,5.19999981,176.200012,13.7863588,14.8136778,15.6000004,31.2000008,0.516925454,31.3999996,22.2999992,26.8912430,28.5600071,22.2999992,26.8912430,28.5600071,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,149,36,4.90000010,181.100006,13.8015327,14.8312969,14.6000004,29.2000008,0.548520565,30.7000008,22.5000000,26.6389370,28.1437359,22.5000000,26.6389370,28.1437359,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,150,37,26.1000004,207.200012,13.8161478,14.8483152,19.1000004,38.2000008,0.410151064,32.2999992,22.6000004,27.4980698,29.2793655,22.6000004,27.4980698,29.2793655,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,151,38,0.100000001,207.300018,13.8301954,14.8647223,21.2000008,42.4000015,0.346128821,33.0000000,20.8999996,27.0123692,29.2358723,20.8999996,27.0123692,29.2358723,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,152,39,0.00000000,207.300018,13.8436661,14.8805056,22.2999992,44.5999985,0.313032031,33.0999985,20.6000004,26.9168243,29.2152691,20.6000004,26.9168243,29.2152691,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,153,40,5.50000000,212.800018,13.8565521,14.8956537,13.5000000,27.0000000,0.584599674,32.7999992,22.8999996,27.9047375,29.7261868,22.8999996,27.9047375,29.7261868,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,154,41,0.00000000,212.800018,13.8688459,14.9101591,21.3999996,42.7999992,0.342229545,33.0000000,22.1000004,27.6121655,29.6187401,22.1000004,27.6121655,29.6187401,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,155,42,0.00000000,212.800018,13.8805399,14.9240065,18.6000004,37.2000008,0.428880632,31.7999992,21.6000004,26.7598648,28.6385822,21.6000004,26.7598648,28.6385822,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,156,43,7.80000019,220.600021,13.8916273,14.9371901,16.7000008,33.4000015,0.487717509,31.0000000,24.5000000,27.7891712,28.9870014,24.5000000,27.7891712,28.9870014,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,157,44,1.39999998,222.000015,13.9020996,14.9496965,17.3999996,34.7999992,0.466730416,31.7999992,23.7000008,27.8000164,29.2934055,23.7000008,27.8000164,29.2934055,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,158,45,0.00000000,222.000015,13.9119511,14.9615211,14.8999996,29.7999992,0.543738484,31.2000008,21.7999992,26.5593567,28.2932014,21.7999992,26.5593567,28.2932014,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,159,46,20.1000004,242.100021,13.9211760,14.9726515,6.69999981,13.3999996,0.794998169,29.6000004,23.5000000,26.5893173,27.7149372,23.5000000,26.5893173,27.7149372,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,160,47,23.2999992,265.400024,13.9297676,14.9830809,15.8999996,31.7999992,0.513861060,31.5000000,22.7999992,27.2071381,28.8131485,22.7999992,27.2071381,28.8131485,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,161,48,19.2000008,284.600037,13.9377203,14.9928007,15.8999996,31.7999992,0.514190495,31.0000000,23.8999996,27.4974270,28.8085499,23.8999996,27.4974270,28.8085499,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,162,49,15.1000004,299.700043,13.9450293,15.0018034,17.1000004,34.2000008,0.477849901,31.6000004,24.1000004,27.9008808,29.2863140,24.1000004,27.9008808,29.2863140,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,163,50,14.6999998,314.400055,13.9516888,15.0100832,17.5000000,35.0000000,0.465936959,31.7000008,24.1000004,27.9522800,29.3565998,24.1000004,27.9522800,29.3565998,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,164,51,13.1999998,327.600067,13.9576960,15.0176325,20.2999992,40.5999985,0.380800664,31.7999992,21.7999992,26.8696365,28.7179184,21.7999992,26.8696365,28.7179184,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,165,52,16.8999996,344.500061,13.9630451,15.0244455,16.5000000,33.0000000,0.496936142,30.2999992,23.2000008,26.7999802,28.1125717,23.2000008,26.7999802,28.1125717,86.4000015,370.720001,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,166,53,30.6000004,375.100067,13.9677353,15.0305176,14.6000004,29.2000008,0.555039883,29.3999996,23.2999992,26.3933468,27.5212994,23.2999992,26.3933468,27.5212994,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,167,54,28.7999992,403.900055,13.9717598,15.0358448,19.2999992,38.5999985,0.411997318,31.3999996,22.3999996,26.9644680,28.6289558,22.3999996,26.9644680,28.6289558,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,168,55,11.6000004,415.500061,13.9751177,15.0404205,22.8999996,45.7999992,0.302513659,33.0000000,22.2000008,27.6778774,29.6755543,22.2000008,27.6778774,29.6755543,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,169,56,7.09999990,422.600067,13.9778080,15.0442419,20.7000008,41.4000015,0.369662464,32.2999992,22.3999996,27.4217663,29.2531834,22.3999996,27.4217663,29.2531834,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,170,57,18.6000004,441.200073,13.9798260,15.0473080,16.2000008,32.4000015,0.506775200,31.5000000,22.6000004,27.1147690,28.7613449,22.6000004,27.1147690,28.7613449,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,171,58,10.8000002,452.000061,13.9811726,15.0496130,19.2999992,38.5999985,0.412458658,30.7999992,23.7000008,27.3018055,28.6154404,23.7000008,27.3018055,28.6154404,86.4000015,370.850006,0.00000000,0.00000000
